CUSTOMER_PLACE_ORDER_DATETIME,PLACED_ORDER_WITH_RESTAURANT_DATETIME,DRIVER_AT_RESTAURANT_DATETIME,DELIVERED_TO_CUSTOMER_DATETIME,DRIVER_ID,RESTAURANT_ID,CUSTOMER_ID,DELIVERY_REGION,IS_ASAP,ORDER_TOTAL,DISCOUNT_AMOUNT,TIP_AMOUNT,REFUNDED_AMOUNT
9/15/2024 5:08:07,9/15/2024 5:08:08,9/15/2024 5:16:20,9/15/2024 5:32:19,36705217,11000,25093919,San Francisco,TRUE,$21.34,$0.00,$2.50,$0.00
9/15/2024 1:55:26,9/15/2024 1:55:26,9/15/2024 2:05:02,9/15/2024 2:36:15,36828872,11000,1142552305,San Francisco,TRUE,$37.90,$1.50,$5.50,$0.00
9/14/2024 19:20:52,9/14/2024 19:20:52,9/14/2024 19:32:12,9/14/2024 19:39:03,28294210,11000,1716551280,San Francisco,TRUE,$32.95,$10.87,$2.00,$0.00
9/14/2024 22:00:15,9/14/2024 22:00:15,9/14/2024 22:14:39,9/14/2024 22:20:43,32702218,11000,36591667,San Francisco,TRUE,$46.32,$0.00,$6.00,$0.00
9/15/2024 1:57:22,9/15/2024 1:57:22,9/15/2024 2:07:15,9/15/2024 2:58:51,36468646,11000,12108039,San Francisco,TRUE,$68.39,$1.78,$13.50,$0.00
9/15/2024 2:15:06,9/15/2024 2:15:06,9/15/2024 2:22:30,9/15/2024 2:38:12,36652815,11000,380274613,San Francisco,TRUE,$25.85,$0.00,$4.00,$0.00
9/15/2024 1:27:15,9/15/2024 1:27:15,9/15/2024 1:35:52,9/15/2024 2:10:02,24676942,11000,26361652,San Francisco,TRUE,$25.15,$0.00,$3.00,$0.00
9/14/2024 19:14:22,9/14/2024 19:14:22,9/14/2024 19:40:53,9/14/2024 20:02:53,34901264,11000,47828894,San Francisco,TRUE,$22.72,$0.00,$3.50,$0.00
9/14/2024 21:49:12,9/14/2024 21:49:13,9/14/2024 21:59:01,9/14/2024 22:07:32,7899393,11000,370610058,San Francisco,TRUE,$39.63,$0.00,$7.00,$0.00
9/15/2024 0:16:12,9/15/2024 0:16:12,9/15/2024 0:28:59,9/15/2024 0:49:10,36339192,11000,110705087,San Francisco,TRUE,$23.30,$0.00,$3.50,$0.00
9/14/2024 22:39:52,9/14/2024 22:39:53,9/14/2024 22:49:25,9/14/2024 23:00:05,7899393,11000,1650201273,San Francisco,TRUE,$26.25,$0.00,$4.00,$0.00
9/15/2024 2:55:40,9/15/2024 2:55:41,9/15/2024 3:03:27,9/15/2024 3:25:51,34603776,11000,700166259,San Francisco,TRUE,$17.07,$0.00,$0.00,$8.00
9/15/2024 0:35:07,9/15/2024 0:35:07,9/15/2024 0:46:10,9/15/2024 1:04:49,34603776,11000,13585325,San Francisco,TRUE,$24.07,$0.00,$3.00,$0.00
9/15/2024 1:18:47,9/15/2024 1:18:47,9/15/2024 1:27:52,9/15/2024 1:42:08,36828872,11000,404405306,San Francisco,TRUE,$35.84,$0.00,$3.00,$0.00
9/14/2024 21:59:49,9/14/2024 21:59:49,9/14/2024 22:13:39,9/14/2024 22:32:59,33426907,11000,267578590,San Francisco,TRUE,$50.93,$0.00,$8.00,$0.00
9/15/2024 1:18:07,9/15/2024 1:18:07,9/15/2024 1:27:52,9/15/2024 1:46:52,36828872,11000,29826323,San Francisco,TRUE,$32.67,$2.50,$4.50,$0.00
9/14/2024 17:51:49,9/14/2024 17:51:49,9/14/2024 18:01:16,9/14/2024 18:28:52,31785743,11000,643047520,San Francisco,TRUE,$76.05,$0.00,$0.00,$0.00
9/14/2024 20:17:03,9/14/2024 20:17:03,9/14/2024 20:26:40,9/14/2024 20:36:26,5447967,11000,1857825234,San Francisco,TRUE,$61.35,$0.50,$5.00,$0.00
9/15/2024 2:43:09,9/15/2024 2:43:09,9/15/2024 2:52:35,9/15/2024 2:57:54,35240521,11000,1088038625,San Francisco,TRUE,$31.72,$0.00,$4.50,$0.00
9/14/2024 17:13:01,9/14/2024 17:30:48,9/14/2024 17:55:33,9/14/2024 18:00:11,36972623,11000,47348287,San Francisco,FALSE,$18.08,$0.79,$1.00,$0.00
9/15/2024 3:43:49,9/15/2024 3:43:50,9/15/2024 4:01:12,9/15/2024 4:11:34,37016690,11000,528249743,San Francisco,TRUE,$47.58,$0.00,$2.00,$0.00
9/14/2024 21:43:54,9/14/2024 21:43:54,9/14/2024 21:56:29,9/14/2024 22:04:28,33805432,11000,130817765,San Francisco,TRUE,$29.60,$0.00,$3.00,$0.00
9/15/2024 3:01:17,9/15/2024 3:01:17,9/15/2024 3:20:34,9/15/2024 3:40:59,36522101,11000,249663481,San Francisco,TRUE,$21.90,$0.00,$3.50,$0.00
9/15/2024 5:04:21,9/15/2024 5:04:21,9/15/2024 5:11:35,9/15/2024 5:25:56,36524617,11000,981616299,San Francisco,TRUE,$24.36,$0.00,$3.00,$0.00
9/15/2024 2:08:05,9/15/2024 2:08:05,9/15/2024 2:19:31,9/15/2024 3:05:16,20116772,11000,1483131506,San Francisco,TRUE,$22.90,$0.00,$4.00,$0.00
9/15/2024 3:41:18,9/15/2024 3:41:18,9/15/2024 3:50:48,9/15/2024 3:59:45,27423092,11000,1381621227,San Francisco,TRUE,$43.48,$1.50,$4.50,$0.00
9/14/2024 18:16:36,9/14/2024 18:16:36,9/14/2024 18:23:39,9/14/2024 18:54:14,24676942,11000,24434749,San Francisco,TRUE,$30.43,$0.00,$5.00,$0.00
9/14/2024 23:12:04,9/14/2024 23:12:05,9/14/2024 23:29:31,9/14/2024 23:44:05,35856784,11000,45435429,San Francisco,TRUE,$32.51,$2.99,$6.00,$0.00
9/15/2024 0:15:22,9/15/2024 0:15:23,9/15/2024 0:41:38,9/15/2024 1:04:57,30696725,11000,14538185,San Francisco,TRUE,$52.65,$0.00,$8.00,$0.00
9/15/2024 4:25:32,9/15/2024 4:25:32,9/15/2024 4:33:52,9/15/2024 5:08:03,36212735,11000,694724047,San Francisco,TRUE,$13.02,$3.00,$1.00,$0.00
9/15/2024 3:35:17,9/15/2024 3:35:18,9/15/2024 3:42:54,9/15/2024 3:55:05,34901264,11000,324074820,San Francisco,TRUE,$59.05,$0.00,$5.50,$0.00
9/15/2024 0:22:40,9/15/2024 0:22:40,9/15/2024 0:34:33,9/15/2024 1:12:22,28114043,11000,57488899,San Francisco,TRUE,$73.10,$2.80,$13.00,$0.00
9/15/2024 2:39:01,9/15/2024 2:39:01,9/15/2024 2:48:37,9/15/2024 3:20:31,24676942,11000,485170102,San Francisco,TRUE,$40.48,$0.00,$4.00,$0.00
9/14/2024 18:48:27,9/14/2024 18:48:27,9/14/2024 18:55:03,9/14/2024 19:06:57,32697706,11000,25839848,San Francisco,TRUE,$29.56,$15.00,$3.50,$0.00
9/15/2024 0:45:57,9/15/2024 0:45:57,9/15/2024 0:53:12,9/15/2024 1:09:18,36534560,11000,371437253,San Francisco,TRUE,$44.28,$0.00,$3.50,$0.00
9/15/2024 1:16:32,9/15/2024 1:16:32,9/15/2024 1:28:43,9/15/2024 1:52:20,36652815,11000,1221412996,San Francisco,TRUE,$65.41,$0.00,$7.50,$0.00
9/14/2024 18:50:26,9/14/2024 18:50:26,9/14/2024 18:58:38,9/14/2024 19:10:46,30696725,11000,726401974,San Francisco,TRUE,$31.59,$0.00,$5.50,$0.00
9/15/2024 2:05:25,9/15/2024 2:05:25,9/15/2024 2:13:16,9/15/2024 2:26:08,36754984,11000,489607924,San Francisco,TRUE,$40.33,$0.00,$7.50,$0.00
9/15/2024 1:04:23,9/15/2024 1:04:23,9/15/2024 1:11:22,9/15/2024 1:42:46,36754432,11000,1117229102,San Francisco,TRUE,$50.23,$0.00,$7.00,$0.00
9/14/2024 23:39:11,9/14/2024 23:39:11,9/14/2024 23:52:34,9/15/2024 0:13:10,33399722,11000,553573714,San Francisco,TRUE,$71.45,$0.00,$11.50,$0.00
9/15/2024 2:18:12,9/15/2024 2:18:12,9/15/2024 2:28:36,9/15/2024 2:41:14,36037525,11000,373621204,San Francisco,TRUE,$49.48,$5.00,$6.50,$0.00
9/15/2024 1:15:49,9/15/2024 1:15:49,9/15/2024 1:25:33,9/15/2024 1:41:21,36468646,11000,175053470,San Francisco,TRUE,$17.40,$0.00,$2.00,$0.00
